ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ccm_lite,ccm4_0_12_applicable_ownership_iaas,ccm4_0_12_applicable_ownership_paas,ccm4_0_12_applicable_ownership_saas,ccm4_0_12_architectural_relevance_phys,ccm4_0_12_architectural_relevance_network,ccm4_0_12_architectural_relevance_compute,ccm4_0_12_architectural_relevance_storage,ccm4_0_12_architectural_relavance_app,ccm4_0_12_architectural_relavance_data,ccm4_0_12_organizational_relevance_cybersecurity,ccm4_0_12_organizational_relevance_internal_audit,ccm4_0_12_organizational_relevance_architecture_team,ccm4_0_12_organizational_relevance_sw_development,ccm4_0_12_organizational_relevance_operations,ccm4_0_12_organizational_relevance_legal_privacy,ccm4_0_12_organizational_relevance_grc_team,ccm4_0_12_organizational_relevance_supply_chain_management,ccm4_0_12_organizational_relevance_hr
Application & Interface Security,Automated Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Application & Interface Security,Automated Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.
",Yes,Shared,Shared,CSP-Owned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,"Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience strategies
and capabilities.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of, withstand, and recover
from business disruptions within risk appetite.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain
a business continuity plan based on the results of the operational resilience
strategies and capabilities.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation that is relevant to
support the business continuity and operational resilience programs. Make the
documentation available to authorized stakeholders and review periodically.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,"Exercise and test business continuity and operational resilience
plans at least annually or upon significant changes.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Communication,BCR-07,"Establish communication with stakeholders and participants in the
course of business continuity and resilience procedures.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically backup data stored in the cloud. Ensure the confidentiality,
integrity and availability of the backup, and verify data restoration from backup
for resiliency.
",Yes,Shared,Shared,Shared,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant
changes, including if possible local emergency authorities.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,"Supplement business-critical equipment with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for managing the risks associated with applying changes
to organization assets, including application, systems, infrastructure, configuration,
etc., regardless of whether the assets are managed internally or externally
(i.e., outsourced). Review and update the policies and procedures at least annually.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Change Control and Configuration Management,Quality Testing,CCC-02,"Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Change Control and Configuration Management,Change Management Technology,CCC-03,"Manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Change Control and Configuration Management,Unauthorized Change Protection,CCC-04,"Restrict the unauthorized addition, removal, update, and management
of organization assets.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Change Control and Configuration Management,Change Agreements,CCC-05,"Include provisions limiting changes directly impacting CSCs owned
environments/tenants to explicitly authorized requests within service level
agreements between CSPs and CSCs.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Change Control and Configuration Management,Change Management Baseline,CCC-06,"Establish change management baselines for all relevant authorized
changes on organization assets.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Change Control and Configuration Management,Exception Management,CCC-08,"'Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.'
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Change Control and Configuration Management,Change Restoration,CCC-09,"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. Review
and update the policies and procedures at least annually.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management
roles and responsibilities.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide cryptographic protection to data at-rest and in-transit,
using cryptographic libraries certified to approved standards.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Use encryption algorithms that are appropriate for data protection,
considering the classification of data, associated risks, and usability of the
encryption technology.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate
changes from internal and external sources, for review, approval, implementation
and communication of cryptographic, encryption and key management technology
changes.
",Yes,Shared,Shared,CSP-Owned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related
systems (including policies and procedures) that fully account for downstream
effects of proposed changes, including residual risk, cost, and benefits analysis.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program
that includes provisions for risk assessment, risk treatment, risk context,
monitoring, and feedback.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",CSC Key Management Capability,CEK-08,"CSPs must provide the capability for CSCs to manage their own data
encryption keys.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes
with a frequency that is proportional to the risk exposure of the system with
audit occurring preferably continuously but at least annually and after any
security event(s).
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Generation,CEK-10,"Generate Cryptographic keys using industry accepted cryptographic
libraries specifying the algorithm strength and the random number generator
used.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Destruction,CEK-14,"Define, implement and evaluate processes, procedures and technical
measures to destroy keys stored outside a secure environment and revoke keys
stored in Hardware Security Modules (HSMs) when they are no longer needed, which
include provisions for legal and regulatory requirements.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Datacenter Security,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside the
organization's premises. If the equipment is not physically destroyed a data
destruction procedure that renders recovery of information impossible must be
applied. Review and update the policies and procedures at least annually.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Datacenter Security,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location. The relocation or transfer
request requires the written or cryptographically verifiable authorization.
Review and update the policies and procedures at least annually.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Datacenter Security,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for maintaining a safe and secure working environment
in offices, rooms, and facilities. Review and update the policies and procedures
at least annually.
",Yes,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Datacenter Security,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure transportation of physical media. Review
and update the policies and procedures at least annually.
",No,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Datacenter Security,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications)
based on the organizational business risk.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Datacenter Security,Assets Cataloguing and Tracking,DCS-06,"Catalogue and track all relevant physical and logical assets located
at all of the CSP's sites within a secured system.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Datacenter Security,Controlled Access Points,DCS-07,"Implement physical security perimeters to safeguard personnel, data,
and information systems. Establish physical security perimeters between the
administrative and business areas and the data storage and processing facilities
areas.
",No,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Datacenter Security,Equipment Identification,DCS-08,"Use equipment identification as a method for connection authentication.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Datacenter Security,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all
ingress and egress points restricted, documented, and monitored by physical
access control mechanisms. Retain access control records on a periodic basis
as deemed appropriate by the organization.
",No,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Datacenter Security,Surveillance System,DCS-10,"Implement, maintain, and operate datacenter surveillance systems
at the external perimeter and at all the ingress and egress points to detect
unauthorized ingress and egress attempts.
",No,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Datacenter Security,Unauthorized Access Response Training,DCS-11,"Train datacenter personnel to respond to unauthorized ingress or
egress attempts.
",No,CSP-Owned,CSP-Owned,CSP-Owned,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Datacenter Security,Cabling Security,DCS-12,"Define, implement and evaluate processes, procedures and technical
measures that ensure a risk-based protection of power and telecommunication
cables from a threat of interception, interference or damage at all facilities,
offices and rooms.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Datacenter Security,Environmental Systems,DCS-13,"Implement and maintain data center environmental control systems
that monitor, maintain and test for continual effectiveness the temperature
and humidity conditions within accepted industry standards.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Datacenter Security,Secure Utilities,DCS-14,"Secure, monitor, maintain, and test utilities services for continual
effectiveness at planned intervals.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Datacenter Security,Equipment Location,DCS-15,"Keep business-critical equipment away from locations subject to high
probability for environmental risk events.
",No,CSP-Owned,CSP-Owned,CSP-Owned,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Data Security and Privacy Lifecycle Management,Security and Privacy Policy and Procedures,DSP-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the classification, protection and handling of data
throughout its lifecycle, and according to all applicable laws and regulations,
standards, and risk level. Review and update the policies and procedures at
least annually.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Data Security and Privacy Lifecycle Management,Secure Disposal,DSP-02,"Apply industry accepted methods for the secure disposal of data from
storage media such that data is not recoverable by any forensic means.
",No,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Data Security and Privacy Lifecycle Management,Data Inventory,DSP-03,"Create and maintain a data inventory, at least for any sensitive
data and personal data.
",Yes,Shared,Shared,Shared,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Data Security and Privacy Lifecycle Management,Data Classification,DSP-04,"Classify data according to its type and sensitivity level.
",Yes,Shared,Shared,Shared,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
