ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_question_id,ccm4_0_12_ctrl_consensus_assessments_question,ccm4_0_12_ctrl_caiq_lite
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.
",AIS-03.1,"Are technical and operational metrics defined and implemented according to
business objectives, security requirements, and compliance obligations?
",No
Application & Interface Security,Secure Application Design and Development,AIS-04,"Define and implement a SDLC process for application design, development,
deployment, and operation in accordance with security requirements defined by
the organization.
",AIS-04.1,"Is an SDLC process defined and implemented for application design, development,
deployment, and operation per organizationally designed security requirements?
",Yes
Application & Interface Security,Automated Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.
",AIS-05.1,"Does the testing strategy outline criteria to accept new information systems,
upgrades, and new versions while ensuring application security, compliance adherence,
and organizational speed of delivery goals?
",No
Application & Interface Security,,,,AIS-05.2,"Is testing automated when applicable and possible?
",No
Application & Interface Security,Automated Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.
",AIS-06.1,"Are strategies and capabilities established and implemented to deploy application
code in a secure, standardized, and compliant manner?
",Yes
Application & Interface Security,,,,AIS-06.2,"Is the deployment and integration of application code automated where possible?
",Yes
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.
",AIS-07.1,"Are application security vulnerabilities remediated following defined processes?
",Yes
Application & Interface Security,,,,AIS-07.2,"Is the remediation of application security vulnerabilities automated when
possible?
",Yes
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually.
",BCR-01.1,"Are business continuity management and operational resilience policies and
procedures established, documented, approved, communicated, applied, evaluated,
and maintained?
",Yes
Business Continuity Management and Operational Resilience,,,,BCR-01.2,"Are the policies and procedures reviewed and updated at least annually?
",Yes
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,"Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience strategies
and capabilities.
",BCR-02.1,"Are criteria for developing business continuity and operational resiliency
strategies and capabilities established based on business disruption and risk
impacts?
",Yes
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of, withstand, and recover
from business disruptions within risk appetite.
",BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from
business disruptions in accordance with risk appetite?
",Yes
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain
a business continuity plan based on the results of the operational resilience
strategies and capabilities.
",BCR-04.1,"Are operational resilience strategies and capability results incorporated
to establish, document, approve, communicate, apply, evaluate, and maintain a
business continuity plan?
",No
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation that is relevant to
support the business continuity and operational resilience programs. Make the
documentation available to authorized stakeholders and review periodically.
",BCR-05.1,"Is relevant documentation developed, identified, and acquired to support business
continuity and operational resilience plans?
",No
Business Continuity Management and Operational Resilience,,,,BCR-05.2,"Is business continuity and operational resilience documentation available
to authorized stakeholders?
",No
Business Continuity Management and Operational Resilience,,,,BCR-05.3,"Is business continuity and operational resilience documentation reviewed periodically?
",No
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,"Exercise and test business continuity and operational resilience
plans at least annually or upon significant changes.
",BCR-06.1,"Are the business continuity and operational resilience plans exercised and
tested at least annually and when significant changes occur?
",No
Business Continuity Management and Operational Resilience,Communication,BCR-07,"Establish communication with stakeholders and participants in the
course of business continuity and resilience procedures.
",BCR-07.1,"Do business continuity and resilience procedures establish communication with
stakeholders and participants?
",No
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically backup data stored in the cloud. Ensure the confidentiality,
integrity and availability of the backup, and verify data restoration from backup
for resiliency.
",BCR-08.1,"Is cloud data periodically backed up?
",Yes
Business Continuity Management and Operational Resilience,,,,BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?
",Yes
Business Continuity Management and Operational Resilience,,,,BCR-08.3,"Can backups be restored appropriately for resiliency?
",Yes
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.
",BCR-09.1,"Is a disaster response plan established, documented, approved, applied, evaluated,
and maintained to ensure recovery from natural and man-made disasters?
",Yes
Business Continuity Management and Operational Resilience,,,,BCR-09.2,"Is the disaster response plan updated at least annually, and when significant
changes occur?
",Yes
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant
changes, including if possible local emergency authorities.
",BCR-10.1,"Is the disaster response plan exercised annually or when significant changes
occur?
",No
Business Continuity Management and Operational Resilience,,,,BCR-10.2,"Are local emergency authorities included, if possible, in the exercise?
",No
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,"Supplement business-critical equipment with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards.
",BCR-11.1,"Is business-critical equipment supplemented with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards?
",No
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for managing the risks associated with applying changes
to organization assets, including application, systems, infrastructure, configuration,
etc., regardless of whether the assets are managed internally or externally
(i.e., outsourced). Review and update the policies and procedures at least annually.
",CCC-01.1,"Are risk management policies and procedures associated with changing organizational
assets including applications, systems, infrastructure, configuration, etc., established,
documented, approved, communicated, applied, evaluated and maintained (regardless
of whether asset management is internal or external)?
",Yes
Change Control and Configuration Management,,,,CCC-01.2,"Are the policies and procedures reviewed and updated at least annually?
",Yes
Change Control and Configuration Management,Quality Testing,CCC-02,"Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.
",CCC-02.1,"Is a defined quality change control, approval and testing process (with established
baselines, testing, and release standards) followed?
",Yes
Change Control and Configuration Management,Change Management Technology,CCC-03,"Manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).
",CCC-03.1,"Are risks associated with changing organizational assets (including applications,
systems, infrastructure, configuration, etc.) managed, regardless of whether asset
management occurs internally or externally (i.e., outsourced)?
",No
Change Control and Configuration Management,Unauthorized Change Protection,CCC-04,"Restrict the unauthorized addition, removal, update, and management
of organization assets.
",CCC-04.1,"Is the unauthorized addition, removal, update, and management of organization
assets restricted?
",Yes
Change Control and Configuration Management,Change Agreements,CCC-05,"Include provisions limiting changes directly impacting CSCs owned
environments/tenants to explicitly authorized requests within service level
agreements between CSPs and CSCs.
",CCC-05.1,"Are provisions to limit changes that directly impact CSC-owned environments
and require tenants to authorize requests explicitly included within the service
level agreements (SLAs) between CSPs and CSCs?
",Yes
Change Control and Configuration Management,Change Management Baseline,CCC-06,"Establish change management baselines for all relevant authorized
changes on organization assets.
",CCC-06.1,"Are change management baselines established for all relevant authorized changes
on organizational assets?
",Yes
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.
",CCC-07.1,"Are detection measures implemented with proactive notification if changes
deviate from established baselines?
",Yes
Change Control and Configuration Management,Exception Management,CCC-08,"'Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.'
",CCC-08.1,"Is a procedure implemented to manage exceptions, including emergencies, in
the change and configuration process?
",No
Change Control and Configuration Management,,,,CCC-08.2,"'Is the procedure aligned with the requirements of the GRC-04: Policy Exception
Process?'
",No
Change Control and Configuration Management,Change Restoration,CCC-09,"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.
",CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good
state"" defined and implemented in case of errors or security concerns?
",Yes
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. Review
and update the policies and procedures at least annually.
",CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
",Yes
"Cryptography, Encryption & Key Management",,,,CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed
and updated at least annually?
",Yes
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management
roles and responsibilities.
",CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities
defined and implemented?
",Yes
"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide cryptographic protection to data at-rest and in-transit,
using cryptographic libraries certified to approved standards.
",CEK-03.1,"Are data at-rest and in-transit cryptographically protected using cryptographic
libraries certified to approved standards?
",Yes
"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Use encryption algorithms that are appropriate for data protection,
considering the classification of data, associated risks, and usability of the
encryption technology.
",CEK-04.1,"Are appropriate data protection encryption algorithms used that consider data
classification, associated risks, and encryption technology usability?
",Yes
"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate
changes from internal and external sources, for review, approval, implementation
and communication of cryptographic, encryption and key management technology
changes.
",CEK-05.1,"Are standard change management procedures established to review, approve,
implement and communicate cryptography, encryption, and key management technology
changes that accommodate internal and external sources?
",Yes
"Cryptography, Encryption & Key Management",Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related
systems (including policies and procedures) that fully account for downstream
effects of proposed changes, including residual risk, cost, and benefits analysis.
",CEK-06.1,"Are changes to cryptography-, encryption- and key management-related systems,
policies, and procedures, managed and adopted in a manner that fully accounts
for downstream effects of proposed changes, including residual risk, cost, and
benefits analysis?
",No
"Cryptography, Encryption & Key Management",Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program
that includes provisions for risk assessment, risk treatment, risk context,
monitoring, and feedback.
",CEK-07.1,"Is a cryptography, encryption, and key management risk program established
and maintained that includes risk assessment, risk treatment, risk context, monitoring,
and feedback provisions?
",No
"Cryptography, Encryption & Key Management",CSC Key Management Capability,CEK-08,"CSPs must provide the capability for CSCs to manage their own data
encryption keys.
",CEK-08.1,"Are CSPs providing CSCs with the capacity to manage their own data encryption
keys?
",No
"Cryptography, Encryption & Key Management",Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes
with a frequency that is proportional to the risk exposure of the system with
audit occurring preferably continuously but at least annually and after any
security event(s).
",CEK-09.1,"Are encryption and key management systems, policies, and processes audited
with a frequency proportional to the system's risk exposure, and after any security
event?
",No
"Cryptography, Encryption & Key Management",,,,CEK-09.2,"Are encryption and key management systems, policies, and processes audited
(preferably continuously but at least annually)?
",No
"Cryptography, Encryption & Key Management",Key Generation,CEK-10,"Generate Cryptographic keys using industry accepted cryptographic
libraries specifying the algorithm strength and the random number generator
used.
",CEK-10.1,"Are cryptographic keys generated using industry-accepted and approved cryptographic
libraries that specify algorithm strength and random number generator specifications?
",Yes
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
",CEK-11.1,"Are private keys provisioned for a unique purpose managed, and is cryptography
secret?
",No
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
",CEK-12.1,"Are cryptographic keys rotated based on a cryptoperiod calculated while considering
information disclosure risks and legal and regulatory requirements?
",Yes
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
",CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established
cryptoperiod (when a key is compromised, or an entity is no longer part of the
organization) per defined, implemented, and evaluated processes, procedures, and
technical measures to include legal and regulatory requirement provisions?
",Yes
"Cryptography, Encryption & Key Management",Key Destruction,CEK-14,"Define, implement and evaluate processes, procedures and technical
measures to destroy keys stored outside a secure environment and revoke keys
stored in Hardware Security Modules (HSMs) when they are no longer needed, which
include provisions for legal and regulatory requirements.
",CEK-14.1,"Are processes, procedures and technical measures to destroy unneeded keys
defined, implemented and evaluated to address key destruction outside secure environments,
revocation of keys stored in hardware security modules (HSMs), and include applicable
legal and regulatory requirement provisions?
",Yes
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
",CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated
state (i.e., when they have been generated but not authorized for use) being defined,
implemented, and evaluated to include legal and regulatory requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
",CEK-16.1,"Are processes, procedures, and technical measures to monitor, review and approve
key transitions (e.g., from any state to/from suspension) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
",CEK-17.1,"Are processes, procedures, and technical measures to deactivate keys (at the
time of their expiration date) being defined, implemented, and evaluated to include
legal and regulatory requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
",CEK-18.1,"Are processes, procedures, and technical measures to manage archived keys
in a secure repository (requiring least privilege access) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
",CEK-19.1,"Are processes, procedures, and technical measures to use compromised keys to
encrypt information in specific scenarios (e.g., only in controlled circumstances
and thereafter only for data decryption and never for encryption) defined,
implemented, and evaluated to include legal and regulatory requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
",CEK-20.1,"Are processes, procedures, and technical measures to assess operational continuity
risks (versus the risk of losing control of keying material and exposing protected
data) being defined, implemented, and evaluated to include legal and regulatory
requirement provisions?
",No
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
",CEK-21.1,"Are key management system processes, procedures, and technical measures being
defined, implemented, and evaluated to track and report all cryptographic materials
and status changes that include legal and regulatory requirements provisions?
",No
Datacenter Security,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside the
organization's premises. If the equipment is not physically destroyed a data
destruction procedure that renders recovery of information impossible must be
applied. Review and update the policies and procedures at least annually.
",DCS-01.1,"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises established, documented, approved, communicated, enforced,
and maintained?
",No
Datacenter Security,,,,DCS-01.2,"Is a data destruction procedure applied that renders information recovery
information impossible if equipment is not physically destroyed?
",No
Datacenter Security,,,,DCS-01.3,"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises reviewed and updated at least annually?
",No
Datacenter Security,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location. The relocation or transfer
request requires the written or cryptographically verifiable authorization.
Review and update the policies and procedures at least annually.
",DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location established, documented,
approved, communicated, implemented, enforced, maintained?
",No
Datacenter Security,,,,DCS-02.2,"Does a relocation or transfer request require written or cryptographically
verifiable authorization?
",No
Datacenter Security,,,,DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location reviewed and updated at
least annually?
",No
Datacenter Security,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for maintaining a safe and secure working environment
in offices, rooms, and facilities. Review and update the policies and procedures
at least annually.
",DCS-03.1,"Are policies and procedures for maintaining a safe and secure working environment
(in offices, rooms, and facilities) established, documented, approved, communicated,
enforced, and maintained?
",Yes
Datacenter Security,,,,DCS-03.2,"Are policies and procedures for maintaining safe, secure working environments
(e.g., offices, rooms) reviewed and updated at least annually?
",Yes
Datacenter Security,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure transportation of physical media. Review
and update the policies and procedures at least annually.
",DCS-04.1,"Are policies and procedures for the secure transportation of physical media
established, documented, approved, communicated, enforced, evaluated, and maintained?
",No
Datacenter Security,,,,DCS-04.2,"Are policies and procedures for the secure transportation of physical media
reviewed and updated at least annually?
",No
Datacenter Security,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications)
based on the organizational business risk.
",DCS-05.1,"Is the classification and documentation of physical and logical assets based
on the organizational business risk?
",Yes
Datacenter Security,Assets Cataloguing and Tracking,DCS-06,"Catalogue and track all relevant physical and logical assets located
at all of the CSP's sites within a secured system.
",DCS-06.1,"Are all relevant physical and logical assets at all CSP sites cataloged and
tracked within a secured system?
",Yes
Datacenter Security,Controlled Access Points,DCS-07,"Implement physical security perimeters to safeguard personnel, data,
and information systems. Establish physical security perimeters between the
administrative and business areas and the data storage and processing facilities
areas.
",DCS-07.1,"Are physical security perimeters implemented to safeguard personnel, data,
and information systems?
",No
Datacenter Security,,,,DCS-07.2,"Are physical security perimeters established between administrative and business
areas, data storage, and processing facilities?
",No
Datacenter Security,Equipment Identification,DCS-08,"Use equipment identification as a method for connection authentication.
",DCS-08.1,"Is equipment identification used as a method for connection authentication?
",No
Datacenter Security,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all
ingress and egress points restricted, documented, and monitored by physical
access control mechanisms. Retain access control records on a periodic basis
as deemed appropriate by the organization.
",DCS-09.1,"Are solely authorized personnel able to access secure areas, with all ingress
and egress areas restricted, documented, and monitored by physical access control
mechanisms?
",No
Datacenter Security,,,,DCS-09.2,"Are access control records retained periodically, as deemed appropriate by
the organization?
",No
Datacenter Security,Surveillance System,DCS-10,"Implement, maintain, and operate datacenter surveillance systems
at the external perimeter and at all the ingress and egress points to detect
unauthorized ingress and egress attempts.
",DCS-10.1,"Are external perimeter datacenter surveillance systems and surveillance systems
at all ingress and egress points implemented, maintained, and operated?
",No
Datacenter Security,Unauthorized Access Response Training,DCS-11,"Train datacenter personnel to respond to unauthorized ingress or
egress attempts.
",DCS-11.1,"Are datacenter personnel trained to respond to unauthorized access or egress
attempts?
",No
Datacenter Security,Cabling Security,DCS-12,"Define, implement and evaluate processes, procedures and technical
measures that ensure a risk-based protection of power and telecommunication
cables from a threat of interception, interference or damage at all facilities,
offices and rooms.
",DCS-12.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure risk-based protection of power and telecommunication cables
from interception, interference, or damage threats at all facilities, offices,
and rooms?
",No
Datacenter Security,Environmental Systems,DCS-13,"Implement and maintain data center environmental control systems
that monitor, maintain and test for continual effectiveness the temperature
and humidity conditions within accepted industry standards.
",DCS-13.1,"Are data center environmental control systems designed to monitor, maintain,
and test that on-site temperature and humidity conditions fall within accepted
industry standards effectively implemented and maintained?
",No
Datacenter Security,Secure Utilities,DCS-14,"Secure, monitor, maintain, and test utilities services for continual
effectiveness at planned intervals.
",DCS-14.1,"Are utility services secured, monitored, maintained, and tested at planned
intervals for continual effectiveness?
",No
Datacenter Security,Equipment Location,DCS-15,"Keep business-critical equipment away from locations subject to high
probability for environmental risk events.
",DCS-15.1,"Is business-critical equipment segregated from locations subject to a high
probability of environmental risk events?
",No
Data Security and Privacy Lifecycle Management,Security and Privacy Policy and Procedures,DSP-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the classification, protection and handling of data
throughout its lifecycle, and according to all applicable laws and regulations,
standards, and risk level. Review and update the policies and procedures at
least annually.
",DSP-01.1,"Are policies and procedures established, documented, approved, communicated,
enforced, evaluated, and maintained for the classification, protection, and handling
of data throughout its lifecycle according to all applicable laws and regulations,
standards, and risk level?
",Yes
Data Security and Privacy Lifecycle Management,,,,DSP-01.2,"Are data security and privacy policies and procedures reviewed and updated
at least annually?
",Yes
Data Security and Privacy Lifecycle Management,Secure Disposal,DSP-02,"Apply industry accepted methods for the secure disposal of data from
storage media such that data is not recoverable by any forensic means.
",DSP-02.1,"Are industry-accepted methods applied for secure data disposal from storage
media so information is not recoverable by any forensic means?
",No
Data Security and Privacy Lifecycle Management,Data Inventory,DSP-03,"Create and maintain a data inventory, at least for any sensitive
data and personal data.
",DSP-03.1,"Is a data inventory created and maintained for sensitive and personal information
(at a minimum)?
",Yes
Data Security and Privacy Lifecycle Management,Data Classification,DSP-04,"Classify data according to its type and sensitivity level.
",DSP-04.1,"Is data classified according to type and sensitivity levels?
",Yes
Data Security and Privacy Lifecycle Management,Data Flow Documentation,DSP-05,"Create data flow documentation to identify what data is processed,
stored or transmitted where. Review data flow documentation at defined intervals,
at least annually, and after any change.
",DSP-05.1,"Is data flow documentation created to identify what data is processed and
where it is stored and transmitted?
",Yes
Data Security and Privacy Lifecycle Management,,,,DSP-05.2,"Is data flow documentation reviewed at defined intervals, at least annually,
and after any change?
",Yes
Data Security and Privacy Lifecycle Management,Data Ownership and Stewardship,DSP-06,"Document ownership and stewardship of all relevant documented personal
and sensitive data. Perform review at least annually.
",DSP-06.1,"Is the ownership and stewardship of all relevant personal and sensitive data
documented?
",Yes
Data Security and Privacy Lifecycle Management,,,,DSP-06.2,"Is data ownership and stewardship documentation reviewed at least annually?
",Yes
Data Security and Privacy Lifecycle Management,Data Protection by Design and Default,DSP-07,"Develop systems, products, and business practices based upon a principle
of security by design and industry best practices.
",DSP-07.1,"Are systems, products, and business practices based on security principles
by design and per industry best practices?
",Yes
Data Security and Privacy Lifecycle Management,Data Privacy by Design and Default,DSP-08,"Develop systems, products, and business practices based upon a principle
of privacy by design and industry best practices. Ensure that systems' privacy
settings are configured by default, according to all applicable laws and regulations.
",DSP-08.1,"Are systems, products, and business practices based on privacy principles
by design and according to industry best practices?
",Yes
Data Security and Privacy Lifecycle Management,,,,DSP-08.2,"Are systems' privacy settings configured by default and according to all applicable
laws and regulations?
",Yes
Data Security and Privacy Lifecycle Management,Data Protection Impact Assessment,DSP-09,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the
origin, nature, particularity and severity of the risks upon the processing
of personal data, according to any applicable laws, regulations and industry
best practices.
",DSP-09.1,"Is a data protection impact assessment (DPIA) conducted when processing personal
data and evaluating the origin, nature, particularity, and severity of risks according
to any applicable laws, regulations and industry best practices?
",No
Data Security and Privacy Lifecycle Management,Sensitive Data Transfer,DSP-10,"Define, implement and evaluate processes, procedures and technical
measures that ensure any transfer of personal or sensitive data is protected
from unauthorized access and only processed within scope as permitted by the
respective laws and regulations.
",DSP-10.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure any transfer of personal or sensitive data is protected from
unauthorized access and only processed within scope (as permitted by respective
laws and regulations)?
",Yes
Data Security and Privacy Lifecycle Management,"Personal Data Access, Reversal, Rectification and Deletion",DSP-11,"Define and implement, processes, procedures and technical measures
to enable data subjects to request access to, modification, or deletion of their
personal data, according to any applicable laws and regulations.
",DSP-11.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable data subjects to request access to, modify, or delete personal
data (per applicable laws and regulations)?
",Yes
Data Security and Privacy Lifecycle Management,Limitation of Purpose in Personal Data Processing,DSP-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure that personal data is processed according to any applicable
laws and regulations and for the purposes declared to the data subject.
",DSP-12.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure personal data is processed (per applicable laws and regulations
and for the purposes declared to the data subject)?
",Yes
