ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_maps2_aicpa_2017_ctrls,ccm4_0_12_ctrl_maps2_aicpa_2017_gap_level,ccm4_0_12_ctrl_maps2_aicpa_2017_addendum,ccm4_0_12_ctrl_maps2_ccmv3_0_1_ctrls,ccm4_0_12_ctrl_maps2_ccmv3_0_1_gap_level,ccm4_0_12_ctrl_maps2_ccmv3_0_1_addendum,ccm4_0_12_ctrl_maps2_cis_v8_ctrls,ccm4_0_12_ctrl_maps2_cis_v8_gap_level,ccm4_0_12_ctrl_maps2_cis_v8_addendum,ccm4_0_12_ctrl_maps2_isf_sogp_2022_ctrls,ccm4_0_12_ctrl_maps2_isf_sogp_2022_gap_level,ccm4_0_12_ctrl_maps2_isf_sogp_2022_addendum,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_addendum,ccm4_0_12_ctrl_maps2_iso_2700x_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_2700x_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_2700x_2022_addendum,ccm4_0_12_ctrl_maps2_nist_800_53r5_ctrls,ccm4_0_12_ctrl_maps2_nist_800_53r5_gap_level,ccm4_0_12_ctrl_maps2_nist_800_53r5_addendum,ccm4_0_12_ctrl_maps2_nist_csf_1_1_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_1_1_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_1_1_addendum,ccm4_0_12_ctrl_maps2_nist_csf_2_0_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_2_0_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_2_0_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_addendum
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.1
27017: 10.1.1
27001: A.10.1.2
27002: 10.1.2 a)
27017: 10.1.2",Partial Gap,"Missing specification(s) in ISOs:
'Keys Pre-Activation' requirement not mentioned","27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography
27002: 8.24 Key management (l,m)",No Gap,N/A,"SC-12
SC-12(2)
SC-12(3)
SC-13",No Gap,N/A,"PR.AC-1
PR.IP-3
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'create keys in a pre-activated state when they have been generated but not authorized for use'.","PR.AA-01
PR.AA-05
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'create keys in a pre-activated state when they have been generated but not authorized for use'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.1
27017: 10.1.1
27001: A.10.1.2
27017: 10.1.2",Partial Gap,"Missing specification(s) in ISOs:
'Keys Suspension' requirement not mentioned","27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography",Partial Gap,"Missing specification(s) in ISOs:
'from any state to/from suspension'.","PM-31
SC-12
SC-12(2)
SC-12(3)
SC-13",No Gap,N/A,"PR.AC-1
PR.IP-3
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'monitor, review and approve key transitions from any state to/from suspension'.","PR.AA-01
PR.AA-05
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'monitor, review and approve key transitions from any state to/from suspension'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.1
27017: 10.1.1
27001: A.10.1.2
27002: 10.1.2
27017: 10.1.2",No Gap,N/A,"27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography
27002: 8.24 Key management (l,m)",No Gap,N/A,"SC-12
SC-12(2)
SC-12(3)",No Gap,N/A,"PR.AC-1
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'deactivate keys at the time of their expiration date'.","PR.AA-01
PR.AA-05
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'deactivate keys at the time of their expiration date'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.1
27017: 10.1.1
27001: A.10.1.2
27017: 10.1.2
27002: 10.1.2 (i)
27001: 9.0
27002: 9.0
27017: 9.0",Partial Gap,"Missing specification(s) in ISOs:
'secure repository requiring least privileged access'","27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography
27002: 8.24 Key management (c,d,i,m)",No Gap,N/A,"SC-12
SC-12(1)-(3)
SC-28
SC-28(3)",No Gap,N/A,"PR.AC-1
PR.IP-4
PR.AC-4
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'manage archived keys in a secure repository requiring least privilege access'.","PR.AA-01
PR.AA-05
PR.DS-01
PR.DS-11
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'manage archived keys in a secure repository requiring least privilege access'.","3.6.4
3.6.5",No Gap,N/A,"3.6.1
3.6.1.3
3.6.1.4
3.7.3",Partial Gap,"Missing specification(s) in PCI DSS:
'manage archived keys in a secure repository requiring least privilege access'."
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.1
27002: 10.1.1 (d)
27001: A.10.1.2
27002: 10.1.2 (f),(g)
27001: A.18.1.5
27001: A.18.1.3
27002: 18.1.3",No Gap,N/A,"27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography
27002: 8.24 Key management (f,m)",No Gap,N/A,"SC-12
SC-12(1)-(3)",No Gap,N/A,"PR.AC-1
PR.DS-1
PR.DS-2
ID.GV-3
RS.MI-1
RS.MI-2",Partial Gap,"Missing specification(s) in the CSF: 
'use compromised keys to encrypt information only in controlled circumstance, and thereafter exclusively for decrypting data and never for encrypting data'.","PR.AA-01
PR.AA-05
PR.DS-01
PR.DS-02
RS.MI-01
RS.MI-02
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'use compromised keys to encrypt information only in controlled circumstance, and thereafter exclusively for decrypting data and never for encrypting data'.","3.6.4
3.6.5",No Gap,N/A,3.7.5,No Gap,N/A
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: 8.2
27001: 8.3
27001: A.10.1.2
27002: 10.1.2 (h)
27001: A.18.1.5",No Gap,N/A,"27001: 8.2
27001: 8.3
27001: A.5.31
27001: A.8.24
27002: 5.31 Cryptography
27002: 8.24 (d), Key management (h,m)",No Gap,N/A,"CM-3
CM-3(6)
CP-9
CP-9(8)
SC-12
SC-12(1)-(3)",No Gap,N/A,"PR.AC-1
PR.IP-9
PR.IP-4
ID.RA-5
ID.RA-4
RS.MI-1
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'assess the risk to operational continuity versus the risk of the keying material and the information it protects being exposed if control of the keying material is lost'.","PR.AA-01
PR.AA-05
ID.IM-04
ID.RA-05
ID.RA-04
RS.MI-01
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'assess the risk to operational continuity versus the risk of the keying material and the information it protects being exposed if control of the keying material is lost'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,3.7.5,Partial Gap,"Recommend that the full CCM control specification is to be used to close the gap.
The mapped PCI DSS control cover in part the high specificity of the CCM control
objective."
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TS2.2,No Gap,N/A,"27001: A.10.1.2
27002: 10.1.2
27017: 10.1.2
27001: A.18.1.5",No Gap,N/A,"27001: A.5.9
27001: A.5.31
27001: A.8.24
27001: A.8.32
27002: 5.31 Cryptography
27002: 8.24 Key management (m)",No Gap,N/A,"SC-12
SC-12(1)-(3)
SC-12(6)",No Gap,N/A,"PR.AC-1
PR.IP-1
PR.IP-3
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'the key management system to track and report all cryptographic materials and changes in status'.","PR.AA-01
PR.AA-05
ID.AM-08
GV.OC-03",Partial Gap,"Missing specification(s) in the CSF: 
'the key management system to track and report all cryptographic materials and changes in status'.","3.5.1
3.6.3
PCI Glossary - Cryptographic Key Management",No Gap,N/A,"3.6.1
3.6.1.1
4.2.1.1
12.3.3",No Gap,N/A
Datacenter Security,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside the
organization's premises. If the equipment is not physically destroyed a data
destruction procedure that renders recovery of information impossible must be
applied. Review and update the policies and procedures at least annually.
","P5.1
CC5.3
CC6.5
CC3.3
P1.1
P2.1
P4.0",Partial Gap,"Missing specification(s) in TSC 2017:
'Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures'
'If the equipment is not physically destroyed a data destruction
procedure that renders recovery of information impossible must be
applied'
'Review and update the policies and procedures at least annually'.","DCS-05
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply and evaluate policies and procedures for the secure disposal of equipment used outside the organization's premises'
Requirement of 'at least annually' in last sentence.","3.1
3.5",Partial Gap,"Missing specifications in CISv8.0:
""Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside
the organization's premises"".",PA1.1,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.
'document policies and procedures for the secure disposal of equipment'.
'equipment used outside the organization's premises'.                                                          ","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.11.2.7
27002: 11.2.7
27017: 11.2.7",No Gap,N/A,"27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37
27001: A.7.10
27001: A.7.14
27001: A.8.10
27002: 5.1 (b,c)
27002: 7.10 (a)",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","MP-6
MP-6(1)-(3)
MP-6(8)
MP-7(2)
MP-8",No Gap,N/A,"ID.GV-1
PR.IP-6
PR.DS-3",Partial Gap,"Missing specification(s) in the CSF: 
'policies and procedures for the secure disposal of equipment'.
'a data destruction procedure that renders recovery of information impossible must be applied'.
'Review and update the policies and procedures at least annually'.                                                        ","GV.PO-01
GV.PO-02
ID.AM-08
PR.PS-03
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for the secure disposal of equipment used outside the organization's premises'
'a data destruction procedure that renders recovery of information impossible'
'at least annually'.                                                        ","3.1
12.1
12.1.1
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for the secure disposal of equipment used outside the organization's premises'
'If the equipment is not physically destroyed a data destruction procedure that renders recovery of information impossible must be applied'.","12.1.1
12.1.2
9.1.1
9.4.7",No Gap,N/A
Datacenter Security,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location. The relocation or transfer
request requires the written or cryptographically verifiable authorization.
Review and update the policies and procedures at least annually.
","A1.2
CC5.3
CC6.1",No Gap,"Missing specification(s) in TSC 2017:
'policies and procedures for the relocation or transfer of hardware,
software, or data/information to an offsite or alternate location'
'Review and update the policies and procedures at least annually'.","DCS-04
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply and evaluate policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location'
'or cryptographically verifiable authorization'
Requirement of 'at least annually' in last sentence.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC1.3
PA1.1",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.
'The relocation or transfer request requires the written or cryptographically verifiable authorization'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.11.2.5",Partial Gap,"Missing specification(s) in ISOs:
'Apply and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location'
'relocation requires the cryptographically verifiable authorization.'","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.14
27001: A.5.37
27001: A.7.1
27002: 5.1
27002: 5.14
27002: 5.1 (b,c)
27002: 7.1",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","AC-1
AC-4
CA-3
MP-5
MP-5(3)
SC-4
SC-4(2)",Partial Gap,"Missing specification(s) in NIST 800-53:
'The relocation or transfer request requires the written or cryptographically verifiable authorization'.","ID.GV-1
PR.DS-3
PR.MA-1
PR.PT-2
PR.PT-5",Partial Gap,"Missing specification(s) in the CSF: 
'policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.AM-08
PR.DS-02
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location'
'The relocation or transfer request requires the written or cryptographically verifiable authorization'
'at least annually'.","4.1
12.1
12.1.1
12.11",No Gap,N/A,"12.1.1
12.1.2
9.1.1
9.4.3
9.4.4",No Gap,N/A
Datacenter Security,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for maintaining a safe and secure working environment
in offices, rooms, and facilities. Review and update the policies and procedures
at least annually.
","CC3.4
CC5.3
CC6.4
CC6.5
CC6.7",Partial Gap,"Missing specification(s) in TSC 2017:
'policies and procedures for maintaining a safe and secure working
environment in offices, rooms, and facilities'
'Review and update the policies and procedures at least annually'.","DCS-06
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'evaluate (implementation of) policies and procedures'
Requirement of 'at least annually' in last sentence.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"PE1.1
PE2.3",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.11.1.3
27002: 11.1.3
27017: 11.1.3
27001: A.11.1.5
27002: 11.1.5
27017: 11.1.5",No Gap,N/A,"27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.14
27001: A.5.37
27001: A.7.3
27001: A.7.6
27002: 5.1 (b,c)
27002: 7.3
27002: 7.6",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","PE-1
PE-6
PE-6(1)-(4)
SC-15
SC-15(1)
SC-15(3)
SC-15(4)",No Gap,N/A,"ID.GV-1
PR.IP-5
PR.AC-2",Partial Gap,"Missing specification(s) in the CSF: 
'policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
PR.IR-02
PR.AA-06
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities'
'at least annually'.","9.1
12.1
12.1.1
12.11",No Gap,N/A,"12.1.1
12.1.2
9.3.1
9.3.2",No Gap,N/A
Datacenter Security,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure transportation of physical media. Review
and update the policies and procedures at least annually.
",CC5.3,Partial Gap,"Missing specification(s) in TSC 2017:
'policies and procedures for the secure transportation of physical media'
'Review and update the policies and procedures at least annually'.","GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply and evaluate policies and procedures for the secure transportation of physical media.'
Requirement of 'at least annually' in last sentence.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,IM2.2,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.8.3.3
27002: 8.3.3
27017: 8.3.3",No Gap,N/A,"27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.14
27001: A.5.37
27001: A.7.10
27002: 5.1
27002: 5.14
27002: 5.1 (b,c)
27002: 7.10 (a)",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","MP-1
MP-5
MP-5(3)",No Gap,N/A,"ID.GV-1
PR.PT-2",Partial Gap,"Missing specification(s) in the CSF: 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
PR.DS-01
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for the secure transportation of physical media'
'at least annually'.","9.6
9.6.2
9.6.2.a
9.6.2.b
9.6.3
12.1
12.1.1
12.11",No Gap,N/A,"9.1.1
9.4.3
9.4.4
12.1.1
12.1.2",No Gap,N/A
Datacenter Security,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications)
based on the organizational business risk.
",CC6.1,Partial Gap,"Missing specification(s) in TSC 2017:
'document the physical and logical assets'
'based on the organizational business risk'.",DCS - 01,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SM1.1
SM2.6",No Gap,N/A,"27001: A.8.2.1
27002: 8.2.1
27017: 8.2.1",Partial Gap,"Missing specification(s) in ISOs:
'classify physical assets'","27001: A.5.12
27001: A.5.37",No Gap,N/A,"CM-8
CM-8(1)
CM-8(2)
CM-8(4)
CM-8(6)
CM-8(7)
CM-8(9)
PM-5
PM-5(1)
PE-20",No Gap,"Missing specification(s) in NIST 800-53:
'based on the organizational business risk'.","ID.AM-1
ID.AM-2
ID.AM-4
ID-AM-5",No Gap,N/A,ID.AM-05,No Gap,N/A,"2.4
2.4a
2.4b",No Gap,N/A,9.4.2,No Gap,N/A
Datacenter Security,Assets Cataloguing and Tracking,DCS-06,"Catalogue and track all relevant physical and logical assets located
at all of the CSP's sites within a secured system.
",CC6.1,Partial Gap,"Missing specification(s) in TSC 2017:
'track the physical and logical assets'
'located at all of the CSPs sites'.",DCS - 01,No Gap,N/A,"1.1
2.1",No Gap,N/A,SM2.6,No Gap,N/A,"27001: A.8.1.1
27002: 8.1.1
27017: 8.1.1",Partial Gap,"Missing specification(s) in ISOs:
'classify physical assets'",27001: A.5.9,No Gap,N/A,"CM-8
CM-8(1)
CM-8(2)
CM-8(4)
CM-8(7)
CM-8(8)",No Gap,N/A,"ID.AM-1
ID.AM-2
ID.AM-4
PR.AC-4",No Gap,N/A,"ID.AM-01
ID.AM-02
ID.AM-04",No Gap,N/A,"2.4
9.7.1
9.9.1
9.9.1.a
9.9.1.b
9.9.1.c
12.3.3
12.3.4",No Gap,N/A,"3.6.1.1
6.3.2
9.4.2
9.4.3
12.5.1",No Gap,N/A
Datacenter Security,Controlled Access Points,DCS-07,"Implement physical security perimeters to safeguard personnel, data,
and information systems. Establish physical security perimeters between the
administrative and business areas and the data storage and processing facilities
areas.
","CC3.4
CC6.4
CC6.5
CC6.7",Partial Gap,"Missing specification(s) in TSC 2017:
'Establish physical security perimeters between the administrative and
business areas and the data storage and processing facilities areas'.","DCS-02
DCS-08",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"PE1.1
PE1.2",Partial Gap,"Missing specification(s) in SOGP: 
'safeguard personnel'.","27001: A.11.1.1
27002: 11.1.1
27017: 11.1.1",No Gap,N/A,"27001: A.7.1
27002: 7.1 Other Information",No Gap,N/A,"AT-3(2)
PE-2
PE-2(1)
PE-2(3)
PE-3
PE-3(2)-(5)
PE-3(7)
PE-3(8)
PE-6
PE-6(1)-(4)
PE-8
PE-8(1)",No Gap,N/A,PR.AC-2,Partial Gap,"Missing specification(s) in the CSF: 
'Implement physical security perimeters'.
'Establish physical security perimeters between the administrative and business areas and the data storage and processing facilities areas'.",PR.AA-06,Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"3.7
9.1",Partial Gap,"Missing specification(s) in PCI DSS:
'Establish physical security perimeters between the administrative and business areas and the data storage and processing facilities areas'.","9.2.1
9.2.1.1
9.2.2
9.2.3
9.2.4",Partial Gap,"Recommend that the full CCM control specification is to be used to close the gap.
The mapped PCI DSS controls cover in part the high specificity of the CCM control
objective."
Datacenter Security,Equipment Identification,DCS-08,"Use equipment identification as a method for connection authentication.
",CC6.1,Partial Gap,"Missing specification(s) in TSC 2017:
'Use equipment identification as a method for connection authentication'.",DCS - 03,No Gap,N/A,"1.3
1.5",No Gap,N/A,NC1.4,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped SOGP controls cover in part the CCM control objective (Scope of equipment is in SOGP is limited to computer and network names only).,No Mapping,Full Gap,The full V4 control specification is missing from the ISOs and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the ISOs and has to be used to close the gap.,"AC-18
AC-18(1)
IA-3
IA-3(3)
IA-3(4)",No Gap,N/A,"PR.AC-1
PR.AC-7",No Gap,N/A,"PR.AA-01
PR.AA-03",No Gap,N/A,12.3.2,No Gap,N/A,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Datacenter Security,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all
ingress and egress points restricted, documented, and monitored by physical
access control mechanisms. Retain access control records on a periodic basis
as deemed appropriate by the organization.
","CC3.4
CC6.4
CC6.5",Partial Gap,"Missing specification(s) in TSC 2017:
'retain access control records on a periodic basis as deemed appropriate
by the organization'.","DCS-07
DCS-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'all ingress and egress points (are) documented'
'Retain access control records on a periodic basis as deemed appropriate by the organization.'",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"PE1.2
PE2.3",No Gap,N/A,27001: A.11.1.2,No Gap,N/A,"27001: A.7.2
27002: 7.2 (a,b)",No Gap,N/A,"MP-4(2)
PE-3
PE-3(8)
PE-5
PE-6
PE-6(1)-(4)
PE-18
SC-42",No Gap,N/A,"PR.AC-2
DE.CM-2
DE.CM-7
PR.PT-1",Partial Gap,"Missing specification(s) in the CSF: 
'Retain access control records on a periodic basis as deemed appropriate by the organization'.
'all ingress and egress points documented'.","PR.AA-06
DE.CM-02",Partial Gap,"Missing specification(s) in the CSF: 
'all ingress and egress points documented'
'Retain access control records on a periodic basis'.","9.1
9.1.3
9.3
9.3.a
9.3.b
9.3.c
9.4
9.4.1
9.4.2
9.4.3
9.4.4
9.4.4.a
9.4.4.b
9.4.4.c",No Gap,N/A,"9.2.1
9.2.1.1
9.3.1
9.3.1.1
9.3.2
9.3.3
9.3.4",No Gap,N/A
