ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_auditing_guidelines
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management
roles and responsibilities.
","1. Obtain cryptographic, encryption policy, and key management procedures.
2. Verify, by interviews or otherwise, that employees and stakeholders are aware of their roles and responsibilities, and obtain supporting documentation evidencing that the responsibilities are being managed in-line with policy and procedures.
"
"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide cryptographic protection to data at-rest and in-transit,
using cryptographic libraries certified to approved standards.
","1. Identify data flows within the organization that are in-transit.
2. Identify data storages within the organization that are at-rest.
3. Confirm that the identified data flows and data storages have been protected by an appropriate cryptographic algorithm aligned to cryptography, encryption, and key management policy and procedures.
"
"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Use encryption algorithms that are appropriate for data protection,
considering the classification of data, associated risks, and usability of the
encryption technology.
","1. Identify the encryption algorithms in use.
2. Confirm that identified encryption algorithms have been reviewed and approved by appropriate management.
3. Confirm that the encryption algorithm approval process includes assessment of the appropriateness of the algorithm for the data it is protecting, any associated risks, and the algorithm's usability.
"
"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate
changes from internal and external sources, for review, approval, implementation
and communication of cryptographic, encryption and key management technology
changes.
","1. Examine policy and procedures and obtain evidence that these include the change management process.
2. Obtain representative samples of recent changes relating to cryptographic, encryption, and key management technology.
3. Confirm that sample changes have followed the organization change management procedures, including approval by appropriate individuals, communication of changes to relevant stakeholders, and assessment of the success of implementing changes with any required remediation actions being tracked.
"
"Cryptography, Encryption & Key Management",Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related
systems (including policies and procedures) that fully account for downstream
effects of proposed changes, including residual risk, cost, and benefits analysis.
","1.  Obtain a copy of the change management policy and procedures. Confirm that these documents include assessment of impact on downstream effects, including residual risk, cost, and benefit analysis.
2. Examine recent changes made to cryptography-, encryption-, and key management-related systems (including policy and procedures), and confirm that these changes include an account of downstream effects of proposed changes, including residual risk, cost, and benefits analysis.
3. Confirm that the changes have been reviewed and approved by appropriate management.
"
"Cryptography, Encryption & Key Management",Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program
that includes provisions for risk assessment, risk treatment, risk context,
monitoring, and feedback.
","1. Identify and confirm the existence of the organization's risk assessment process and obtain the risk register.
2. Confirm that the risk register includes as part of a regular process or control review encryption and key management.
3. Obtain evidence that demonstrates that a risk assessment is performed of the encryption and key management program and process.
"
"Cryptography, Encryption & Key Management",CSC Key Management Capability,CEK-08,"CSPs must provide the capability for CSCs to manage their own data
encryption keys.
","1. Identity CSC's data key encryption policy and standards.
2. Review the implementation of the CSP key broker and key management services (KMS) and the cloud hardware security modules (HSMs).
3. Confirm that the configuration enables appropriate management of the key, e.g., customer-managed master key, CSP-managed master key, and CSP-owned master key.
4. Confirm that HSM meets internal compliance standards, e.g., FIPS 140-2.
"
"Cryptography, Encryption & Key Management",Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes
with a frequency that is proportional to the risk exposure of the system with
audit occurring preferably continuously but at least annually and after any
security event(s).
","1. Examine the master audit plan to confirm that audits of encryption and key management systems, policy and processes are included in the plan.
2. Review previously completed audits and confirm that audits of encryption and key management systems, policy and processes have been completed and that any issues raised have been included in issue logs and tracked appropriately.
"
"Cryptography, Encryption & Key Management",Key Generation,CEK-10,"Generate Cryptographic keys using industry accepted cryptographic
libraries specifying the algorithm strength and the random number generator
used.
","1. Confirm that the organization has an approved process for the generation of cryptographic keys.
2. Identify the keys being used.
3. Observe the generation of an encryption key in a production-like sandbox or as a test tenant in production and confirm the keys have been generated according to the appropriate procedure and technical specifications.
"
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
","1. Obtain copies of the policy and procedures detailing the management of secret and private cryptographic keys.
2. Identify cryptographic secret and private keys that have been provisioned for a unique purpose.
3. Ascertain that these keys are being managed in accordance with policy and procedures.
"
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
","Consider the symmetric vs. asymmetric key rotation capabilities of CSPs and an appropriate rotation process adopted.
1. Confirm that policy and procedures include a requirement for regular key rotation.
2. Identify keys used within the organization. Confirm that these keys are part of the rotation process.
3. Review the key rotation process to confirm logging and monitoring of key rotation, tracking of date, time, encryption algorithm used, and authorization process used.
"
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
","1. Examine the organization procedures and confirm the existence of a key revocation process.
2. Identify a population of keys and confirm that they are captured within the key revocation process.
3. Confirm that a list of entities no longer part of the organization is maintained.
"
"Cryptography, Encryption & Key Management",Key Destruction,CEK-14,"Define, implement and evaluate processes, procedures and technical
measures to destroy keys stored outside a secure environment and revoke keys
stored in Hardware Security Modules (HSMs) when they are no longer needed, which
include provisions for legal and regulatory requirements.
","1. Confirm the existence of key destruction processes and procedures.
2. Review the access permissions for the destruction and restoration of keys and confirm that only appropriate individuals have access to these capabilities.
3. Review keys that have been destroyed and ascertain the appropriate process and procedure have been followed.
4. Establish documented criteria that determine when it is appropriate for a cryptographic key to be stored outside a secure environment.
"
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
","1. Confirm the existence of processes and procedures to generate keys.
2. Confirm that the access and permissions around the key creation process is restricted to appropriate individuals.
3. Identify the key management server and the key storage database.
4. Review the key attributes and confirm that these are appropriate for the key, e.g., activation data, instance, deletion ability, rollover, etc.
5. Confirm the key activation process, e.g., manual, on creation, at a future time.
6. Review the pre-activated keys.
"
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
","1. Confirm the existence of processes and procedures to manage the transition state of keys.
2. Review the access and permissions regarding the transition state of keys and confirm that these are restricted to appropriate individuals.
3. Verify that it is possible to modify a key state and suspend/disable keys when required.
"
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
","1. Confirm the existence of processes and procedures to deactivate keys.
2. Review the access and permissions around the key deactivation process and confirm this is restricted to appropriate individuals.
3. Review key deactivation process and configurations.  Confirm that they are in line with internal and external requirements. 
4. Confirm the key deactivation process e.g. manual, on expiration, at a defined future time.
"
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
","1. Confirm the existence of a documented and valid process for key archival.
2. Verify that the key archival process implements least privilege throughout the key archival cycle.
3. Establish whether the storage medium is secure, as per internal and external requirements.
"
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
","1. Examine if the organization has defined processes, procedures and technical measures for secure handling of compromised keys.
2. Review if the process for secure usage of compromised keys fulfills the organization and external business / operational continuity requirements.
3. Evaluate the significance of technical and organizational measures defined and implemented for usage of compromised keys in a secure environment.
"
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
","1. Examine if the organization has defined processes and procedures for handling the operational risk of compromised keys.
2. Determine if the key recovery process fulfills the organization and external business / operational continuity requirements.
3. Evaluate the significance of technical and organizational measures as per the key management lifecycle.
"
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
","1. Examine if the organization has defined the key management processes.
2. Review the processes for key lifecycle management (creation, rotation, storage, disposal) with respect to organization and external (regulatory) requirements.
3. Evaluate if the processes and procedures for change management of key management systems provide an overall traceability of lifecycle steps.
"
Datacenter Security,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside the
organization's premises. If the equipment is not physically destroyed a data
destruction procedure that renders recovery of information impossible must be
applied. Review and update the policies and procedures at least annually.
","1. Examine the organization's policy and procedures related to data destruction.
2. Determine if the policy has been approved, communicated, and reviewed.
3. Determine if a policy exists that addresses the secure destruction of data and for conditions when equipment is reused as opposed to when equipment is destroyed.
"
Datacenter Security,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location. The relocation or transfer
request requires the written or cryptographically verifiable authorization.
Review and update the policies and procedures at least annually.
","1. Examine the organization's policy and procedures related to relocation, transfer or retirement of assets.
2. Determine if policy has been approved, communicated, and reviewed.
3. Determine if the policy requires recorded authorisation of movements.
"
Datacenter Security,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for maintaining a safe and secure working environment
in offices, rooms, and facilities. Review and update the policies and procedures
at least annually.
","1. Examine the organization's policy and procedures related to physical areas under the organization's control.
2. Determine if policy has been approved, communicated, and reviewed.
"
Datacenter Security,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure transportation of physical media. Review
and update the policies and procedures at least annually.
","1. Examine the organization's policy and procedures for secure transportation of physical media.
2. Determine if policy has been approved, communicated, and reviewed.
"
Datacenter Security,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications)
based on the organizational business risk.
","1. Examine the policy relating to defining the organization's business risk.
2. Confirm that the physical and logical assets are being classified in accordance with defined policy and procedures. 
3. Review the asset Inventory to determine if assets are catalogued and tagged according to the organization's business risk classification criteria.
"
Datacenter Security,Assets Cataloguing and Tracking,DCS-06,"Catalogue and track all relevant physical and logical assets located
at all of the CSP's sites within a secured system.
","1. Examine the policy relating to defining asset location and disposition.
2. Examine the asset registers and determine if they are stored and accessed securely.
"
Datacenter Security,Controlled Access Points,DCS-07,"Implement physical security perimeters to safeguard personnel, data,
and information systems. Establish physical security perimeters between the
administrative and business areas and the data storage and processing facilities
areas.
","1. Examine the policy relating to physical security perimeters.
2. Examine the lists of types of areas in the organization, and the classification of each.
3. Determine if there are appropriate physical security barriers and if monitoring exists between areas.
"
Datacenter Security,Equipment Identification,DCS-08,"Use equipment identification as a method for connection authentication.
","1. Examine the policy relating to equipment classification and identification.
2. Determine if appropriate methods are implemented. 
3. Confirm the existence of a process or procedure to track and maintain a list of appropriate equipment permitted for authorised connections.
"
Datacenter Security,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all
ingress and egress points restricted, documented, and monitored by physical
access control mechanisms. Retain access control records on a periodic basis
as deemed appropriate by the organization.
","1. Examine the policy and procedures relating to access to secure areas.
2. Determine if the policy includes ingress and egress points to service and delivery areas.
3. Determine if procedures include activities and actions against unauthorized personnel in the premises. 
4. Confirm that existence, review, and retention of Access logs for secure areas are aligned with policy and procedures.
"
Datacenter Security,Surveillance System,DCS-10,"Implement, maintain, and operate datacenter surveillance systems
at the external perimeter and at all the ingress and egress points to detect
unauthorized ingress and egress attempts.
","1. Examine the policy relating to data center surveillance.
2. Determine if the policy includes ingress, egress and external perimeter to detect unauthorized access.
3. Determine if procedures include activities and actions against unauthorized personnel in the premises.
4. Review and determine if items identified in surveillance system logs for the premises have been actioned in accordance with policy and procedures.
5. Determine if logs are maintained and reviewed appropriately.
"
Datacenter Security,Unauthorized Access Response Training,DCS-11,"Train datacenter personnel to respond to unauthorized ingress or
egress attempts.
","1. Examine the policy and procedures relating to activities and actions to perform in case of unauthorized access.
2. Examine the policy and procedures related to datacenter’s personnel training.
3. Determine if the training content is appropriate and approved by the organization.
4. Ascertain that appropriate datacenter personnel have completed all relevant training through review of training plans and records.  Confirm that these have been completed in accordance with policy and procedures.
"
Datacenter Security,Cabling Security,DCS-12,"Define, implement and evaluate processes, procedures and technical
measures that ensure a risk-based protection of power and telecommunication
cables from a threat of interception, interference or damage at all facilities,
offices and rooms.
","1. Examine the policy and procedures relating to cabling Infrastructure.
2. Determine if risk registers are maintained for cabling (For plant and ancillary equipment).
"
Datacenter Security,Environmental Systems,DCS-13,"Implement and maintain data center environmental control systems
that monitor, maintain and test for continual effectiveness the temperature
and humidity conditions within accepted industry standards.
","1. Confirm the existence of policy and procedures relating to environmental control in the datacenter.
2. Verify that the environment control systems are documented and operational in accordance with policy and procedures.
3. Determine if testing for operational control effectiveness is conducted at regular intervals.
4. Determine if environment system logs (e.g., temperature and humidity) are generated and if related monitoring controls are maintained.
5. Confirm that the system logs are reviewed on a periodic basis and items are disposed of in accordance with policy and procedures.
"
Datacenter Security,Secure Utilities,DCS-14,"Secure, monitor, maintain, and test utilities services for continual
effectiveness at planned intervals.
","1. Confirm the existence of the policy and procedures relating to utilities services.
2. Confirm that the control effectiveness of utilities services is conducted at periodic intervals.
3. Determine if utility services logs are maintained and reviewed periodically.
4. Determine if testing of the utilities services is included in the CSP contract with the customer.
"
Datacenter Security,Equipment Location,DCS-15,"Keep business-critical equipment away from locations subject to high
probability for environmental risk events.
","1. Examine the policy relating to environmental risk.
2. Determine if locations are assessed and classified for probability of environmental risk.
3. Determine if business-critical equipment is identified.
"
