sp800_53b_ctrl_id,sp800_53b_ctrl_domain,sp800_53b_ctrl_title,sp800_53b_ctrl_withdrawn,sp800_53b_baseline_privacy,sp800_53b_security_baseline_low,sp800_53b_security_baseline_moderate,sp800_53b_security_baseline_high
AC-6,Access Control,Least Privilege,,,,x,x
AC-6(1),Access Control,Least Privilege | Authorize Access to Security Functions,,,,x,x
AC-6(2),Access Control,Least Privilege | Non-privileged Access for Nonsecurity Functions,,,,x,x
AC-6(3),Access Control,Least Privilege | Network Access to Privileged Commands,,,,,x
AC-6(4),Access Control,Least Privilege | Separate Processing Domains,,,,,
AC-6(5),Access Control,Least Privilege | Privileged Accounts,,,,x,x
AC-6(6),Access Control,Least Privilege | Privileged Access by Non-organizational Users,,,,,
AC-6(7),Access Control,Least Privilege | Review of User Privileges,,,,x,x
AC-6(8),Access Control,Least Privilege | Privilege Levels for Code Execution,,,,,
AC-6(9),Access Control,Least Privilege | Log Use of Privileged Functions,,,,x,x
AC-6(10),Access Control,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,,,,x,x
AC-7,Access Control,Unsuccessful Logon Attempts,,,x,x,x
AC-7(1),Access Control,Unsuccessful Logon Attempts | Automatic Account Lock,W: Incorporated into AC-7.,,,,
AC-7(2),Access Control,Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,,,,,
AC-7(3),Access Control,Unsuccessful Logon Attempts | Biometric Attempt Limiting,,,,,
AC-7(4),Access Control,Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,,,,,
AC-8,Access Control,System Use Notification,,,x,x,x
AC-9,Access Control,Previous Logon Notification,,,,,
AC-9(1),Access Control,Previous Logon Notification | Unsuccessful Logons,,,,,
AC-9(2),Access Control,Previous Logon Notification | Successful and Unsuccessful Logons,,,,,
AC-9(3),Access Control,Previous Logon Notification | Notification of Account Changes,,,,,
AC-9(4),Access Control,Previous Logon Notification | Additional Logon Information,,,,,
AC-10,Access Control,Concurrent Session Control,,,,,x
AC-11,Access Control,Device Lock,,,,x,x
AC-11(1),Access Control,Device Lock | Pattern-hiding Displays,,,,x,x
AC-12,Access Control,Session Termination,,,,x,x
AC-12(1),Access Control,Session Termination | User-initiated Logouts,,,,,
AC-12(2),Access Control,Session Termination | Termination Message,,,,,
AC-12(3),Access Control,Session Termination | Timeout Warning Message,,,,,
AC-13,Access Control,Supervision and Review — Access Control,W: Incorporated into AC-2 and AU-6.,,,,
AC-14,Access Control,Permitted Actions Without Identification or Authentication,,,x,x,x
AC-14(1),Access Control,Permitted Actions Without Identification or Authentication | Necessary Uses,W: Incorporated into AC-14.,,,,
AC-15,Access Control,Automated Marking,W: Incorporated into MP-3.,,,,
AC-16,Access Control,Security and Privacy Attributes,,,,,
AC-16(1),Access Control,Security and Privacy Attributes | Dynamic Attribute Association,,,,,
AC-16(2),Access Control,Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,,,,,
AC-16(3),Access Control,Security and Privacy Attributes | Maintenance of Attribute Associations by System,,,,,
AC-16(4),Access Control,Security and Privacy Attributes | Association of Attributes by Authorized Individuals,,,,,
AC-16(5),Access Control,Security and Privacy Attributes | Attribute Displays on Objects to Be Output,,,,,
AC-16(6),Access Control,Security and Privacy Attributes | Maintenance of Attribute Association,,,,,
AC-16(7),Access Control,Security and Privacy Attributes | Consistent Attribute Interpretation,,,,,
AC-16(8),Access Control,Security and Privacy Attributes | Association Techniques and Technologies,,,,,
AC-16(9),Access Control,Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms,,,,,
AC-16(10),Access Control,Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,,,,,
AC-17,Access Control,Remote Access,,,x,x,x
AC-17(1),Access Control,Remote Access | Monitoring and Control,,,,x,x
AC-17(2),Access Control,Remote Access | Protection of Confidentiality and Integrity Using Encryption,,,,x,x
AC-17(3),Access Control,Remote Access | Managed Access Control Points,,,,x,x
AC-17(4),Access Control,Remote Access | Privileged Commands and Access,,,,x,x
AC-17(5),Access Control,Remote Access | Monitoring for Unauthorized Connections,W: Incorporated into SI-4.,,,,
AC-17(6),Access Control,Remote Access | Protection of Mechanism Information,,,,,
AC-17(7),Access Control,Remote Access | Additional Protection for Security Function Access,W: Incorporated into AC-3(10).,,,,
AC-17(8),Access Control,Remote Access | Disable Nonsecure Network Protocols,W: Incorporated into CM-7.,,,,
AC-17(9),Access Control,Remote Access | Disconnect or Disable Access,,,,,
AC-17(10),Access Control,Remote Access | Authenticate Remote Commands,,,,,
AC-18,Access Control,Wireless Access,,,x,x,x
AC-18(1),Access Control,Wireless Access | Authentication and Encryption,,,,x,x
AC-18(2),Access Control,Wireless Access | Monitoring Unauthorized Connections,W: Incorporated into SI-4.,,,,
AC-18(3),Access Control,Wireless Access | Disable Wireless Networking,,,,x,x
AC-18(4),Access Control,Wireless Access | Restrict Configurations by Users,,,,,x
AC-18(5),Access Control,Wireless Access | Antennas and Transmission Power Levels,,,,,x
AC-19,Access Control,Access Control for Mobile Devices,,,x,x,x
AC-19(1),Access Control,Access Control for Mobile Devices | Use of Writable and Portable Storage Devices,W: Incorporated into MP-7.,,,,
AC-19(2),Access Control,Access Control for Mobile Devices | Use of Personally Owned Portable Storage Devices,W: Incorporated into MP-7.,,,,
AC-19(3),Access Control,Access Control for Mobile Devices | Use of Portable Storage Devices with No Identifiable Owner,W: Incorporated into MP-7.,,,,
AC-19(4),Access Control,Access Control for Mobile Devices | Restrictions for Classified Information,,,,,
AC-19(5),Access Control,Access Control for Mobile Devices | Full Device or Container-based Encryption,,,,x,x
AC-20,Access Control,Use of External Systems,,,x,x,x
AC-20(1),Access Control,Use of External Systems | Limits on Authorized Use,,,,x,x
AC-20(2),Access Control,Use of External Systems | Portable Storage Devices — Restricted Use,,,,x,x
AC-20(3),Access Control,Use of External Systems | Non-organizationally Owned Systems  — Restricted Use,,,,,
AC-20(4),Access Control,Use of External Systems | Network Accessible Storage Devices — Prohibited Use,,,,,
AC-20(5),Access Control,Use of External Systems | Portable Storage Devices — Prohibited Use,,,,,
AC-21,Access Control,Information Sharing,,,,x,x
AC-21(1),Access Control,Information Sharing | Automated Decision Support,,,,,
AC-21(2),Access Control,Information Sharing | Information Search and Retrieval,,,,,
AC-22,Access Control,Publicly Accessible Content,,,x,x,x
AC-23,Access Control,Data Mining Protection,,,,,
AC-24,Access Control,Access Control Decisions,,,,,
AC-24(1),Access Control,Access Control Decisions | Transmit Access Authorization Information,,,,,
AC-24(2),Access Control,Access Control Decisions | No User or Process Identity,,,,,
AC-25,Access Control,Reference Monitor,,,,,
AT-1,Awareness and Training,Policy and Procedures,,x ,x,x,x
AT-2,Awareness and Training,Literacy Training and Awareness,,x ,x,x,x
AT-2(1),Awareness and Training,Literacy Training and Awareness | Practical Exercises,,,,,
AT-2(2),Awareness and Training,Literacy Training and Awareness | Insider Threat,,,x,x,x
AT-2(3),Awareness and Training,Literacy Training and Awareness | Social Engineering and Mining,,,,x,x
AT-2(4),Awareness and Training,Literacy Training and Awareness | Suspicious Communications and Anomalous System Behavior,,,,,
AT-2(5),Awareness and Training,Literacy Training and Awareness | Advanced Persistent Threat,,,,,
AT-2(6),Awareness and Training,Literacy Training and Awareness | Cyber Threat Environment,,,,,
AT-3,Awareness and Training,Role-based Training,,x ,x,x,x
AT-3(1),Awareness and Training,Role-based Training | Environmental Controls,,,,,
AT-3(2),Awareness and Training,Role-based Training | Physical Security Controls,,,,,
AT-3(3),Awareness and Training,Role-based Training | Practical Exercises,,,,,
AT-3(4),Awareness and Training,Role-based Training | Suspicious Communications and Anomalous System Behavior,W: Incorporated into AT-2(4).,,,,
AT-3(5),Awareness and Training,Role-based Training | Processing Personally Identifiable Information,,x ,,,
AT-4,Awareness and Training,Training Records,,x ,x,x,x
AT-5,Awareness and Training,Contacts with Security Groups and Associations,W: Incorporated into PM-15.,,,,
AT-6,Awareness and Training,Training Feedback,,,,,
AU-1,Audit and Accountability,Policy and Procedures,,x ,x,x,x
AU-2,Audit and Accountability,Event Logging,,x ,x,x,x
AU-2(1),Audit and Accountability,Event Logging | Compilation of Audit Records from Multiple Sources,W: Incorporated into AU-12.,,,,
AU-2(2),Audit and Accountability,Event Logging | Selection of Audit Events by Component,W: Incorporated into AU-12.,,,,
AU-2(3),Audit and Accountability,Event Logging | Reviews and Updates,W: Incorporated into AU-2.,,,,
AU-2(4),Audit and Accountability,Event Logging | Privileged Functions,W: Incorporated into AC-6(9).,,,,
AU-3,Audit and Accountability,Content of Audit Records,,,x,x,x
AU-3(1),Audit and Accountability,Content of Audit Records | Additional Audit Information,,,,x,x
AU-3(2),Audit and Accountability,Content of Audit Records | Centralized Management of Planned Audit Record Content,W: Incorporated into PL-9.,,,,
AU-3(3),Audit and Accountability,Content of Audit Records | Limit Personally Identifiable Information Elements,,x,,,
AU-4,Audit and Accountability,Audit Log Storage Capacity,,,x,x,x
AU-4(1),Audit and Accountability,Audit Log Storage Capacity | Transfer to Alternate Storage,,,,,
AU-5,Audit and Accountability,Response to Audit Logging Process Failures,,,x,x,x
AU-5(1),Audit and Accountability,Response to Audit Logging Process Failures | Storage Capacity Warning,,,,,x
AU-5(2),Audit and Accountability,Response to Audit Logging Process Failures | Real-time Alerts,,,,,x
AU-5(3),Audit and Accountability,Response to Audit Logging Process Failures | Configurable Traffic Volume Thresholds,,,,,
AU-5(4),Audit and Accountability,Response to Audit Logging Process Failures | Shutdown on Failure,,,,,
AU-5(5),Audit and Accountability,Response to Audit Logging Process Failures | Alternate Audit Logging Capability,,,,,
AU-6,Audit and Accountability,"Audit Record Review, Analysis, and Reporting",,,x,x,x
AU-6(1),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Automated Process Integration",,,,x,x
AU-6(2),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Automated Security Alerts",W: Incorporated into SI-4,,,,
AU-6(3),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",,,,x,x
AU-6(4),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Central Review and Analysis",,,,,
AU-6(5),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Integrated Analysis of Audit Records",,,,,x
AU-6(6),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Correlation with Physical Monitoring",,,,,x
AU-6(7),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Permitted Actions",,,,,
AU-6(8),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Full Text Analysis of Privileged Commands",,,,,
AU-6(9),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Correlation with Information from Nontechnical Sources",,,,,
AU-6(10),Audit and Accountability,"Audit Record Review, Analysis, and Reporting | Audit Level Adjustment",W: Incorporated into AU-6.,,,,
AU-7,Audit and Accountability,Audit Record Reduction and Report Generation,,,,x,x
AU-7(1),Audit and Accountability,Audit Record Reduction and Report Generation | Automatic Processing,,,,x,x
AU-7(2),Audit and Accountability,Audit Record Reduction and Report Generation | Automatic Sort and Search,W: Incorporated into AU-7(1).,,,,
AU-8,Audit and Accountability,Time Stamps,,,x,x,x
AU-8(1),Audit and Accountability,Time Stamps | Synchronization with Authoritative Time Source,W: Moved to SC-45(1).,,,,
AU-8(2),Audit and Accountability,Time Stamps | Secondary Authoritative Time Source,W: Moved to SC-45(2).,,,,
AU-9,Audit and Accountability,Protection of Audit Information,,,x,x,x
AU-9(1),Audit and Accountability,Protection of Audit Information | Hardware Write-once Media,,,,,
AU-9(2),Audit and Accountability,Protection of Audit Information | Store on Separate Physical Systems or Components,,,,,x
AU-9(3),Audit and Accountability,Protection of Audit Information | Cryptographic Protection,,,,,x
AU-9(4),Audit and Accountability,Protection of Audit Information | Access by Subset of Privileged Users,,,,x,x
AU-9(5),Audit and Accountability,Protection of Audit Information | Dual Authorization,,,,,
AU-9(6),Audit and Accountability,Protection of Audit Information | Read-only Access,,,,,
AU-9(7),Audit and Accountability,Protection of Audit Information | Store on Component with Different Operating System,,,,,
AU-10,Audit and Accountability,Non-repudiation,,,,,x
AU-10(1),Audit and Accountability,Non-repudiation | Association of Identities,,,,,
AU-10(2),Audit and Accountability,Non-repudiation | Validate Binding of Information Producer Identity,,,,,
AU-10(3),Audit and Accountability,Non-repudiation | Chain of Custody,,,,,
AU-10(4),Audit and Accountability,Non-repudiation | Validate Binding of Information Reviewer Identity,,,,,
AU-10(5),Audit and Accountability,Non-repudiation | Digital Signatures,W: Incorporated into SI-7,,,,
AU-11,Audit and Accountability,Audit Record Retention,,x ,x,x,x
AU-11(1),Audit and Accountability,Audit Record Retention | Long-term Retrieval Capability,,,,,
AU-12,Audit and Accountability,Audit Record Generation,,,x,x,x
AU-12(1),Audit and Accountability,Audit Record Generation | System-wide and Time-correlated Audit Trail,,,,,x
AU-12(2),Audit and Accountability,Audit Record Generation | Standardized Formats,,,,,
AU-12(3),Audit and Accountability,Audit Record Generation | Changes by Authorized Individuals,,,,,x
AU-12(4),Audit and Accountability,Audit Record Generation | Query Parameter Audits of Personally Identifiable Information,,,,,
AU-13,Audit and Accountability,Monitoring for Information Disclosure,,,,,
AU-13(1),Audit and Accountability,Monitoring for Information Disclosure | Use of Automated Tools,,,,,
AU-13(2),Audit and Accountability,Monitoring for Information Disclosure | Review of Monitored Sites,,,,,
AU-13(3),Audit and Accountability,Monitoring for Information Disclosure | Unauthorized Replication of Information,,,,,
AU-14,Audit and Accountability,Session Audit,,,,,
AU-14(1),Audit and Accountability,Session Audit | System Start-up,,,,,
AU-14(2),Audit and Accountability,Session Audit | Capture and Record Content,W: Incorporated into AU-14.,,,,
AU-14(3),Audit and Accountability,Session Audit | Remote Viewing and Listening,,,,,
AU-15,Audit and Accountability,Alternate Audit Logging Capability,W: Moved to AU-5(5).,,,,
AU-16,Audit and Accountability,Cross-organizational Audit Logging,,,,,
AU-16(1),Audit and Accountability,Cross-organizational Audit Logging | Identity Preservation,,,,,
AU-16(2),Audit and Accountability,Cross-organizational Audit Logging | Sharing of Audit Information,,,,,
AU-16(3),Audit and Accountability,Cross-organizational Audit Logging | Disassociability,,,,,
CA-1,Security Assessment and Authorization,Policy and Procedures,,x ,x,x,x
CA-2,Security Assessment and Authorization,Control Assessments,,x ,x,x,x
CA-2(1),Security Assessment and Authorization,Control Assessments | Independent Assessors,,,,x,x
CA-2(2),Security Assessment and Authorization,Control Assessments | Specialized Assessments,,,,,x
CA-2(3),Security Assessment and Authorization,Control Assessments | Leveraging Results from External Organizations,,,,,
CA-3,Security Assessment and Authorization,Information Exchange,,,x,x,x
CA-3(1),Security Assessment and Authorization,Information Exchange | Unclassified National Security System Connections,W: Moved to SC-7(25).,,,,
CA-3(2),Security Assessment and Authorization,Information Exchange | Classified National Security System Connections,W: Moved to SC-7(26).,,,,
CA-3(3),Security Assessment and Authorization,Information Exchange | Unclassified Non-national Security System Connections,W: Moved to SC-7(27).,,,,
CA-3(4),Security Assessment and Authorization,Information Exchange | Connections to Public Networks,W: Moved to SC-7(28).,,,,
CA-3(5),Security Assessment and Authorization,Information Exchange | Restrictions on External System Connections,W: Incorporated into SC-7(5).,,,,
CA-3(6),Security Assessment and Authorization,Information Exchange | Transfer Authorizations,,,,,x
CA-3(7),Security Assessment and Authorization,Information Exchange | Transitive Information Exchanges,,,,,
CA-4,Security Assessment and Authorization,Security Certification,W: Incorporated into CA-2.,,,,
CA-5,Security Assessment and Authorization,Plan of Action and Milestones,,x ,x,x,x
CA-5(1),Security Assessment and Authorization,Plan of Action and Milestones | Automation Support for Accuracy and Currency,,,,,
CA-6,Security Assessment and Authorization,Authorization,,x ,x,x,x
CA-6(1),Security Assessment and Authorization,Authorization | Joint Authorization — Intra-organization,,,,,
CA-6(2),Security Assessment and Authorization,Authorization | Joint Authorization — Inter-organization,,,,,
CA-7,Security Assessment and Authorization,Continuous Monitoring,,x ,x,x,x
CA-7(1),Security Assessment and Authorization,Continuous Monitoring | Independent Assessment,,,,x,x
CA-7(2),Security Assessment and Authorization,Continuous Monitoring | Types of Assessments,W: Incorporated into CA-2.,,,,
CA-7(3),Security Assessment and Authorization,Continuous Monitoring | Trend Analyses,,,,,
CA-7(4),Security Assessment and Authorization,Continuous Monitoring | Risk Monitoring,,x ,x,x,x
CA-7(5),Security Assessment and Authorization,Continuous Monitoring | Consistency Analysis,,,,,
CA-7(6),Security Assessment and Authorization,Continuous Monitoring | Automation Support for Monitoring,,,,,
CA-8,Security Assessment and Authorization,Penetration Testing,,,,,x
CA-8(1),Security Assessment and Authorization,Penetration Testing | Independent Penetration Testing Agent or Team,,,,,x
CA-8(2),Security Assessment and Authorization,Penetration Testing | Red Team Exercises,,,,,
CA-8(3),Security Assessment and Authorization,Penetration Testing | Facility Penetration Testing,,,,,
CA-9,Security Assessment and Authorization,Internal System Connections,,,x,x,x
CA-9(1),Security Assessment and Authorization,Internal System Connections | Compliance Checks,,,,,
CM-1,Configuration Management,Policy and Procedures,,x ,x,x,x
CM-2,Configuration Management,Baseline Configuration,,,x,x,x
CM-2(1),Configuration Management,Baseline Configuration | Reviews and Updates,W: Incorporated into CM-2.,,,,
CM-2(2),Configuration Management,Baseline Configuration | Automation Support for Accuracy and Currency,,,,x,x
CM-2(3),Configuration Management,Baseline Configuration | Retention of Previous Configurations,,,,x,x
CM-2(4),Configuration Management,Baseline Configuration | Unauthorized Software,W: Incorporated into CM-7.,,,,
CM-2(5),Configuration Management,Baseline Configuration | Authorized Software,W: Incorporated into CM-7.,,,,
CM-2(6),Configuration Management,Baseline Configuration | Development and Test Environments,,,,,
CM-2(7),Configuration Management,Baseline Configuration | Configure Systems and Components for High-risk Areas,,,,x,x
CM-3,Configuration Management,Configuration Change Control,,,,x,x
CM-3(1),Configuration Management,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",,,,,x
CM-3(2),Configuration Management,"Configuration Change Control | Testing, Validation, and Documentation of Changes",,,,x,x
CM-3(3),Configuration Management,Configuration Change Control | Automated Change Implementation,,,,,
CM-3(4),Configuration Management,Configuration Change Control | Security and Privacy Representatives,,,,x,x
CM-3(5),Configuration Management,Configuration Change Control | Automated Security Response,,,,,
CM-3(6),Configuration Management,Configuration Change Control | Cryptography Management,,,,,x
CM-3(7),Configuration Management,Configuration Change Control | Review System Changes,,,,,
CM-3(8),Configuration Management,Configuration Change Control | Prevent or Restrict Configuration Changes,,,,,
CM-4,Configuration Management,Impact Analyses,,x ,x,x,x
CM-4(1),Configuration Management,Impact Analyses | Separate Test Environments,,,,,x
CM-4(2),Configuration Management,Impact Analyses | Verification of Controls,,,,x,x
CM-5,Configuration Management,Access Restrictions for Change,,,x,x,x
CM-5(1),Configuration Management,Access Restrictions for Change | Automated Access Enforcement and Audit Records,,,,,x
CM-5(2),Configuration Management,Access Restrictions for Change | Review System Changes,W: Incorporated into CM-3(7).,,,,
CM-5(3),Configuration Management,Access Restrictions for Change | Signed Components,W: Moved to CM-14.,,,,
CM-5(4),Configuration Management,Access Restrictions for Change | Dual Authorization,,,,,
CM-5(5),Configuration Management,Access Restrictions for Change | Privilege Limitation for Production and Operation,,,,,
CM-5(6),Configuration Management,Access Restrictions for Change | Limit Library Privileges,,,,,
CM-5(7),Configuration Management,Access Restrictions for Change | Automatic Implementation of Security Safeguards,W: Incorporated into SI-7.,,,,
CM-6,Configuration Management,Configuration Settings,,,x,x,x
CM-6(1),Configuration Management,"Configuration Settings | Automated Management, Application, and Verification",,,,,x
CM-6(2),Configuration Management,Configuration Settings | Respond to Unauthorized Changes,,,,,x
CM-6(3),Configuration Management,Configuration Settings | Unauthorized Change Detection,W: Incorporated into SI-7.,,,,
CM-6(4),Configuration Management,Configuration Settings | Conformance Demonstration,W: Incorporated into CM-4.,,,,
CM-7,Configuration Management,Least Functionality,,,x,x,x
CM-7(1),Configuration Management,Least Functionality | Periodic Review,,,,x,x
CM-7(2),Configuration Management,Least Functionality | Prevent Program Execution,,,,x,x
CM-7(3),Configuration Management,Least Functionality | Registration Compliance,,,,,
CM-7(4),Configuration Management,Least Functionality | Unauthorized Software,,,,,
CM-7(5),Configuration Management,Least Functionality | Authorized Software,,,,x,x
CM-7(6),Configuration Management,Least Functionality | Confined Environments with Limited Privileges,,,,,
CM-7(7),Configuration Management,Least Functionality | Code Execution in Protected Environments,,,,,
CM-7(8),Configuration Management,Least Functionality | Binary or Machine Executable Code,,,,,
CM-7(9),Configuration Management,Least Functionality | Prohibiting The Use of Unauthorized Hardware,,,,,
CM-8,Configuration Management,System Component Inventory,,,x,x,x
CM-8(1),Configuration Management,System Component Inventory | Updates During Installation and Removal,,,,x,x
CM-8(2),Configuration Management,System Component Inventory | Automated Maintenance,,,,,x
CM-8(3),Configuration Management,System Component Inventory | Automated Unauthorized Component Detection,,,,x,x
CM-8(4),Configuration Management,System Component Inventory | Accountability Information,,,,,x
CM-8(5),Configuration Management,System Component Inventory | No Duplicate Accounting of Components,W: Incorporated into CM-8.,,,,
CM-8(6),Configuration Management,System Component Inventory | Assessed Configurations and Approved Deviations,,,,,
CM-8(7),Configuration Management,System Component Inventory | Centralized Repository,,,,,
CM-8(8),Configuration Management,System Component Inventory | Automated Location Tracking,,,,,
CM-8(9),Configuration Management,System Component Inventory | Assignment of Components to Systems,,,,,
CM-9,Configuration Management,Configuration Management Plan,,,,x,x
CM-9(1),Configuration Management,Configuration Management Plan | Assignment of Responsibility,,,,,
CM-10,Configuration Management,Software Usage Restrictions,,,x,x,x
CM-10(1),Configuration Management,Software Usage Restrictions | Open-source Software,,,,,
CM-11,Configuration Management,User-installed Software,,,x,x,x
CM-11(1),Configuration Management,User-installed Software | Alerts for Unauthorized Installations,W: Incorporated into CM-8(3).,,,,
CM-11(2),Configuration Management,User-installed Software | Software Installation with Privileged Status,,,,,
CM-11(3),Configuration Management,User-installed Software | Automated Enforcement and Monitoring,,,,,
CM-12,Configuration Management,Information Location,,,,x,x
CM-12(1),Configuration Management,Information Location | Automated Tools to Support Information Location,,,,x,x
CM-13,Configuration Management,Data Action Mapping,,,,,
CM-14,Configuration Management,Signed Components,,,,,
CP-1,Contingency Planning,Policy and Procedures,,,x,x,x
CP-2,Contingency Planning,Contingency Plan,,,x,x,x
CP-2(1),Contingency Planning,Contingency Plan | Coordinate with Related Plans,,,,x,x
CP-2(2),Contingency Planning,Contingency Plan | Capacity Planning,,,,,x
CP-2(3),Contingency Planning,Contingency Plan | Resume Mission and Business Functions,,,,x,x
CP-2(4),Contingency Planning,Contingency Plan | Resume All Mission and Business Functions,W: Incorporated into CP-2(3).,,,,
CP-2(5),Contingency Planning,Contingency Plan | Continue Mission and Business Functions,,,,,x
